language	flores200_language_code	orthography
Acehnese (Arabic script)	 ace	Arab
Acehnese (Latin script)	 ace	Latn
Mesopotamian Arabic	 acm	Arab
Ta’izzi-Adeni Arabic	 acq	Arab
Tunisian Arabic	 aeb	Arab
Afrikaans	 afr	Latn
South Levantine Arabic	 ajp	Arab
Akan	 aka	Latn
Amharic	 amh	Ethi
North Levantine Arabic	 apc	Arab
Modern Standard Arabic	 arb	Arab
Modern Standard Arabic (Romanized)	 arb	Latn
Najdi Arabic	 ars	Arab
Moroccan Arabic	 ary	Arab
Egyptian Arabic	 arz	Arab
Assamese	 asm	Beng
Asturian	 ast	Latn
Awadhi	 awa	Deva
Central Aymara	 ayr	Latn
South Azerbaijani	 azb	Arab
North Azerbaijani	 azj	Latn
Bashkir	 bak	Cyrl
Bambara	 bam	Latn
Balinese	 ban	Latn
Belarusian	 bel	Cyrl
Bemba	 bem	Latn
Bengali	 ben	Beng
Bhojpuri	 bho	Deva
Banjar (Arabic script)	 bjn	Arab
Banjar (Latin script)	 bjn	Latn
Standard Tibetan	 bod	Tibt
Bosnian	 bos	Latn
Buginese	 bug	Latn
Bulgarian	 bul	Cyrl
Catalan	 cat	Latn
Cebuano	 ceb	Latn
Czech	 ces	Latn
Chokwe	 cjk	Latn
Central Kurdish	 ckb	Arab
Crimean Tatar	 crh	Latn
Welsh	 cym	Latn
Danish	 dan	Latn
German	 deu	Latn
Southwestern Dinka	 dik	Latn
Dyula	 dyu	Latn
Dzongkha	 dzo	Tibt
Greek	 ell	Grek
English	 eng	Latn
Esperanto	 epo	Latn
Estonian	 est	Latn
Basque	 eus	Latn
Ewe	 ewe	Latn
Faroese	 fao	Latn
Fijian	 fij	Latn
Finnish	 fin	Latn
Fon	 fon	Latn
French	 fra	Latn
Friulian	 fur	Latn
Nigerian Fulfulde	 fuv	Latn
Scottish Gaelic	 gla	Latn
Irish	 gle	Latn
Galician	 glg	Latn
Guarani	 grn	Latn
Gujarati	 guj	Gujr
Haitian Creole	 hat	Latn
Hausa	 hau	Latn
Hebrew	 heb	Hebr
Hindi	 hin	Deva
Chhattisgarhi	 hne	Deva
Croatian	 hrv	Latn
Hungarian	 hun	Latn
Armenian	 hye	Armn
Igbo	 ibo	Latn
Ilocano	 ilo	Latn
Indonesian	 ind	Latn
Icelandic	 isl	Latn
Italian	 ita	Latn
Javanese	 jav	Latn
Japanese	 jpn	Jpan
Kabyle	 kab	Latn
Jingpho	 kac	Latn
Kamba	 kam	Latn
Kannada	 kan	Knda
Kashmiri (Arabic script)	 kas	Arab
Kashmiri (Devanagari script)	 kas	Deva
Georgian	 kat	Geor
Central Kanuri (Arabic script)	 knc	Arab
Central Kanuri (Latin script)	 knc	Latn
Kazakh	 kaz	Cyrl
Kabiyè	 kbp	Latn
Kabuverdianu	 kea	Latn
Khmer	 khm	Khmr
Kikuyu	 kik	Latn
Kinyarwanda	 kin	Latn
Kyrgyz	 kir	Cyrl
Kimbundu	 kmb	Latn
Northern Kurdish	 kmr	Latn
Kikongo	 kon	Latn
Korean	 kor	Hang
Lao	 lao	Laoo
Ligurian	 lij	Latn
Limburgish	 lim	Latn
Lingala	 lin	Latn
Lithuanian	 lit	Latn
Lombard	 lmo	Latn
Latgalian	 ltg	Latn
Luxembourgish	 ltz	Latn
Luba-Kasai	 lua	Latn
Ganda	 lug	Latn
Luo	 luo	Latn
Mizo	 lus	Latn
Standard Latvian	 lvs	Latn
Magahi	 mag	Deva
Maithili	 mai	Deva
Malayalam	 mal	Mlym
Marathi	 mar	Deva
Minangkabau (Arabic script)	 min	Arab
Minangkabau (Latin script)	 min	Latn
Macedonian	 mkd	Cyrl
Plateau Malagasy	 plt	Latn
Maltese	 mlt	Latn
Meitei (Bengali script)	 mni	Beng
Halh Mongolian	 khk	Cyrl
Mossi	 mos	Latn
Maori	 mri	Latn
Burmese	 mya	Mymr
Dutch	 nld	Latn
Norwegian Nynorsk	 nno	Latn
Norwegian Bokmål	 nob	Latn
Nepali	 npi	Deva
Northern Sotho	 nso	Latn
Nuer	 nus	Latn
Nyanja	 nya	Latn
Occitan	 oci	Latn
West Central Oromo	 gaz	Latn
Odia	 ory	Orya
Pangasinan	 pag	Latn
Eastern Panjabi	 pan	Guru
Papiamento	 pap	Latn
Western Persian	 pes	Arab
Polish	 pol	Latn
Portuguese	 por	Latn
Dari	 prs	Arab
Southern Pashto	 pbt	Arab
Ayacucho Quechua	 quy	Latn
Romanian	 ron	Latn
Rundi	 run	Latn
Russian	 rus	Cyrl
Sango	 sag	Latn
Sanskrit	 san	Deva
Santali	 sat	Olck
Sicilian	 scn	Latn
Shan	 shn	Mymr
Sinhala	 sin	Sinh
Slovak	 slk	Latn
Slovenian	 slv	Latn
Samoan	 smo	Latn
Shona	 sna	Latn
Sindhi	 snd	Arab
Somali	 som	Latn
Southern Sotho	 sot	Latn
Spanish	 spa	Latn
Tosk Albanian	 als	Latn
Sardinian	 srd	Latn
Serbian	 srp	Cyrl
Swati	 ssw	Latn
Sundanese	 sun	Latn
Swedish	 swe	Latn
Swahili	 swh	Latn
Silesian	 szl	Latn
Tamil	 tam	Taml
Tatar	 tat	Cyrl
Telugu	 tel	Telu
Tajik	 tgk	Cyrl
Tagalog	 tgl	Latn
Thai	 tha	Thai
Tigrinya	 tir	Ethi
Tamasheq (Latin script)	 taq	Latn
Tamasheq (Tifinagh script)	 taq	Tfng
Tok Pisin	 tpi	Latn
Tswana	 tsn	Latn
Tsonga	 tso	Latn
Turkmen	 tuk	Latn
Tumbuka	 tum	Latn
Turkish	 tur	Latn
Twi	 twi	Latn
Central Atlas Tamazight	 tzm	Tfng
Uyghur	 uig	Arab
Ukrainian	 ukr	Cyrl
Umbundu	 umb	Latn
Urdu	 urd	Arab
Northern Uzbek	 uzn	Latn
Venetian	 vec	Latn
Vietnamese	 vie	Latn
Waray	 war	Latn
Wolof	 wol	Latn
Xhosa	 xho	Latn
Eastern Yiddish	 ydd	Hebr
Yoruba	 yor	Latn
Yue Chinese	 yue	Hant
Chinese (Simplified)	 zho	Hans
Chinese (Traditional)	 zho	Hant
Standard Malay	 zsm	Latn
Zulu	 zul	Latn
