Classification	ID	Name
ainu1252	hokk1250	Hokkaido-Kuril Ainu
more1255	kanu1280	Kanum
more1255	more1256	Morehead-Maro
more1255/kanu1280	ngkr1234	Ngkrn-Ngkantr
more1255/kanu1280/ngkr1234	ngka1236	Ngkantr
more1255/more1256	tond1250	Tonda
more1255/more1256	namb1292	Nambu
more1255/more1256/tond1250	wara1293	Eastern Tonda
more1255/more1256/namb1292	namo1249	Namo-Len
more1255/more1256/namb1292	nama1270	Nama-Dre
afro1255	chad1250	Chadic
afro1255	semi1276	Semitic
afro1255	egyp1245	Egyptian
afro1255	cush1243	Cushitic
afro1255	berb1260	Berber
afro1255/chad1250	bium1280	Biu-Mandara
afro1255/chad1250	masa1323	Masa
afro1255/chad1250	west2785	West Chadic
afro1255/chad1250	east2632	East Chadic
afro1255/chad1250/bium1280	sout3145	South Biu-Mandara
afro1255/chad1250/bium1280	hurz1242	Hurza
afro1255/chad1250/bium1280	nort3156	North Biu-Mandara
afro1255/chad1250/bium1280	unun9878	Unclassified Biu-Mandara
afro1255/chad1250/bium1280/sout3145	mata1311	Matakam
afro1255/chad1250/bium1280/sout3145	bium1275	Teraic
afro1255/chad1250/bium1280/sout3145	bium1271	Bataic
afro1255/chad1250/bium1280/sout3145	bium1274	Dabaic
afro1255/chad1250/bium1280/sout3145/bium1275	east2649	Eastern Tera
afro1255/chad1250/bium1280/sout3145/bium1275	west2707	Western Tera
afro1255/chad1250/bium1280/sout3145/bium1271	gude1247	Gudeic
afro1255/chad1250/bium1280/sout3145/bium1271/gude1247	gude1248	Gude-Jimi-Zizilivakan
afro1255/chad1250/bium1280/sout3145/bium1271/gude1247	nzan1241	Nzanyic
afro1255/chad1250/bium1280/sout3145/bium1271/gude1247	shar1250	Sharwa-Tsuvan
afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248	fali1290	Fali-Gude
afro1255/chad1250/bium1280/sout3145/bium1274	buwa1244	Buwal-Gavar
afro1255/chad1250/bium1280/sout3145/bium1274	daba1262	Daba-Mazagway-Kola
afro1255/chad1250/bium1280/nort3156	higi1241	Higic
afro1255/chad1250/bium1280/nort3156	lama1287	Lamang-Hdi
afro1255/chad1250/bium1280/nort3156	marg1267	Margi-Mandara-Mofu
afro1255/chad1250/bium1280/nort3156	bium1279	Musguic
afro1255/chad1250/bium1280/nort3156	maro1246	Maroua
afro1255/chad1250/bium1280/nort3156	koto1267	Kotoko-Buduma
afro1255/chad1250/bium1280/nort3156/higi1241	nkaf1238	Nkafa-Kirya-Bana
afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238	higi1242	Nkafa-Kirya
afro1255/chad1250/bium1280/nort3156/marg1267	mand1472	Mandaraic
afro1255/chad1250/bium1280/nort3156/marg1267	bura1296	Bura-Marghi
afro1255/chad1250/bium1280/nort3156/marg1267	mofu1249	Mofuic
afro1255/chad1250/bium1280/nort3156/marg1267/mand1472	podo1243	Podoko
afro1255/chad1250/bium1280/nort3156/marg1267/mand1472	dghw1240	Dghwedeic
afro1255/chad1250/bium1280/nort3156/marg1267/mand1472	wand1280	Wandala-Malgwa-Glavda
afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240	gudu1253	Gudufic
afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280	wand1281	Wandala-Malgwa
afro1255/chad1250/bium1280/nort3156/marg1267/bura1296	bium1270	Marghic
afro1255/chad1250/bium1280/nort3156/marg1267/bura1296	bura1297	Buraic
