ID	Name	ISO639P3code	Classification
ainu1240	Hokkaido Ainu	ain	ainu1252/hokk1250
agob1244	Agob-Ende-Kawam	kit	paho1240
idii1243	Idi-Taeme	idi	paho1240
smar1235	Smärky Kanum	kxq	more1255/kanu1280
sota1242	Sota Kanum	krz	more1255/kanu1280/ngkr1234
badi1247	Ngkontar Baedi	khd	more1255/kanu1280/ngkr1234/ngka1236
ngka1235	Ngkontar Ngkolmpu	kcd	more1255/kanu1280/ngkr1234/ngka1236
yeii1239	Yei	jei	more1255/more1256
gunt1241	Warta Thuntai	gnt	more1255/more1256/tond1250
aram1253	Arammba	stk	more1255/more1256/tond1250
rema1238	Rema	bow	more1255/more1256/tond1250
blaf1238	Mblafe-Ránmo	bfh	more1255/more1256/tond1250
kunj1246	Kánchá	pep	more1255/more1256/tond1250/wara1293
wara1294	Anta-Komnzo-Wára-Wérè-Kémä	tci	more1255/more1256/tond1250/wara1293
namb1293	Nambo	ncm	more1255/more1256/namb1292
neme1244	Neme	nex	more1255/more1256/namb1292
nama1267	Namat	nkm	more1255/more1256/namb1292
nenn1238	Nen	nqn	more1255/more1256/namb1292
namo1246	Namo	mxw	more1255/more1256/namb1292/namo1249
nama1266	Nama (Papua New Guinea)	nmx	more1255/more1256/namb1292/nama1270
madn1237	Madngele	zml	east2374
kamu1258	Kamu	xmu	east2374
suku1272	Sukur	syk	afro1255/chad1250/bium1280/sout3145
cuvo1236	Cuvok	cuv	afro1255/chad1250/bium1280/sout3145/mata1311
mefe1242	Mefele	mfj	afro1255/chad1250/bium1280/sout3145/mata1311
mafa1239	Mafa	maf	afro1255/chad1250/bium1280/sout3145/mata1311
hwan1240	Hwana	hwo	afro1255/chad1250/bium1280/sout3145/bium1275/east2649
gaan1243	Ga'anda	gqa	afro1255/chad1250/bium1280/sout3145/bium1275/east2649
boga1251	Boga	bvw	afro1255/chad1250/bium1280/sout3145/bium1275/east2649
tera1251	Tera	ttr	afro1255/chad1250/bium1280/sout3145/bium1275/west2707
jara1274	Jara	jaf	afro1255/chad1250/bium1280/sout3145/bium1275/west2707
gudu1250	Gudu	gdu	afro1255/chad1250/bium1280/sout3145/bium1271
baca1246	Bacama	bcy	afro1255/chad1250/bium1280/sout3145/bium1271
bata1314	Bata	bta	afro1255/chad1250/bium1280/sout3145/bium1271
ngwa1251	Ngwaba	ngw	afro1255/chad1250/bium1280/sout3145/bium1271
zizi1238	Zizilivakan	ziz	afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248
