dataset	model	lang1	lang2	mrr
nusax	mbert	sundanese	sundanese	0.0
nusax	mbert	sundanese	banjarese	0.05790063419044591
nusax	mbert	sundanese	acehnese	0.017627912314309886
nusax	mbert	sundanese	madurese	0.024052365265975865
nusax	mbert	sundanese	balinese	0.07506355383493968
nusax	mbert	sundanese	buginese	0.0057579684763016965
nusax	mbert	sundanese	ngaju	0.0320927022969454
nusax	mbert	sundanese	javanese	0.0973857425811327
nusax	mbert	sundanese	minangkabau	0.06423050059053861
nusax	mbert	sundanese	toba_batak	0.018165244502956077
nusax	mbert	sundanese	english	0.0003216421913436866
nusax	mbert	sundanese	indonesian	0.0448198659498823
nusax	mbert	banjarese	sundanese	0.04689028303202657
nusax	mbert	banjarese	banjarese	0.0
nusax	mbert	banjarese	acehnese	0.025459161782409735
nusax	mbert	banjarese	madurese	0.026846881809400026
nusax	mbert	banjarese	balinese	0.06290397594110221
nusax	mbert	banjarese	buginese	0.013150760791560035
nusax	mbert	banjarese	ngaju	0.07756981065210553
nusax	mbert	banjarese	javanese	0.04830632894366866
nusax	mbert	banjarese	minangkabau	0.0892209872712076
nusax	mbert	banjarese	toba_batak	0.02569249829632231
nusax	mbert	banjarese	english	0.0002821169101418264
nusax	mbert	banjarese	indonesian	0.09493889901300469
nusax	mbert	acehnese	sundanese	0.016998803459841345
nusax	mbert	acehnese	banjarese	0.034460397557503956
nusax	mbert	acehnese	acehnese	0.0
nusax	mbert	acehnese	madurese	0.031214882310677757
nusax	mbert	acehnese	balinese	0.03068336219717128
nusax	mbert	acehnese	buginese	0.012998661901589994
nusax	mbert	acehnese	ngaju	0.04431577040609141
nusax	mbert	acehnese	javanese	0.02054840922174382
nusax	mbert	acehnese	minangkabau	0.026071804292761337
nusax	mbert	acehnese	toba_batak	0.031379765101777944
nusax	mbert	acehnese	english	0.00027555435964600055
nusax	mbert	acehnese	indonesian	0.019416444202413726
nusax	mbert	madurese	sundanese	0.02277620845720081
nusax	mbert	madurese	banjarese	0.031473510087110974
nusax	mbert	madurese	acehnese	0.03567975826514555
nusax	mbert	madurese	madurese	0.0
nusax	mbert	madurese	balinese	0.03741512154521367
nusax	mbert	madurese	buginese	0.042624003078766334
nusax	mbert	madurese	ngaju	0.03710789287737161
nusax	mbert	madurese	javanese	0.026306551081994436
